step,x1,x2,y,f1,f2,Ax,Ay,Bx,By,C,time
178, -0.127583, 0.127582, 0.240082, 1.922124, 1.922116, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.211000
179, -0.133099, 0.133098, 0.235464, 1.936401, 1.936392, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.350000
180, -0.139429, 0.139428, 0.230197, 1.953198, 1.953189, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.434000
181, -0.146507, 0.146506, 0.224354, 1.972521, 1.972511, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.101000
182, -0.154249, 0.154250, 0.218015, 1.994343, 1.994352, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.754000
183, -0.162587, 0.162588, 0.211253, 2.018714, 2.018724, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.779000
184, -0.171427, 0.171428, 0.204156, 2.045593, 2.045605, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.303000
185, -0.180682, 0.180681, 0.196806, 2.074978, 2.074967, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.142000
186, -0.190254, 0.190252, 0.189292, 2.106785, 2.106772, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.302000
187, -0.200052, 0.200053, 0.181690, 2.140972, 2.140985, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.963000
188, -0.209999, 0.210001, 0.174071, 2.177542, 2.177556, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.073000
189, -0.220008, 0.220006, 0.166505, 2.216414, 2.216400, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.018000
190, -0.229986, 0.229984, 0.159059, 2.257428, 2.257411, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.053000
191, -0.239862, 0.239861, 0.151787, 2.300504, 2.300492, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.128000
192, -0.249568, 0.249570, 0.144736, 2.345501, 2.345521, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.810000
193, -0.259045, 0.259046, 0.137943, 2.392309, 2.392323, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.068000
194, -0.268234, 0.268232, 0.131443, 2.440724, 2.440700, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.721000
